Year;CP;Estimation_method;Estimation_method_detailed;Road;RoadCategory;Easting;Northing;Longitute;Latitude;StartJunction;EndJunction;LinkLength_miles;LinkLength_kilometres;Motorcycles;CarsTaxis;BusesCoaches;LightGoodsVehicles;AllHGVs;AllMotorVehicles;;MotorcycleCO2PerKilometer;CarsTaxisCO2PerKilometer;BusesCoachesCO2PerKilometer;LightGoodsVehiclesCO2PerKilometer;AllHGVsCO2PerKilometer;TotalEmissionsPerSection;;Rank;
2004;80355;Estimated;Estimated using previous year's AADF on this link;A944;PR;386000;806180;;;B9119;B9119;2.36;;50.12;4961.39;26.79;662.84;429.51;6130.66;;;;;;;;;;
2005;1041;Estimated;Estimated using previous year's AADF on this link;A956;PU;394400;809000;;;A978;B997 Balgownie Road;0.81;;68.11;5312.44;152.14;660.15;504.18;6697.01;;;;;;;;;;
2005;1042;Estimated;Estimated using previous year's AADF on this link;A9013;PU;393250;805600;;;A93;A978;0.19;;23.07;1102.79;25.52;267.19;36.2;1454.77;;;;;;;;;;
2005;1178;Counted;Manual count;A90;TU;391560;808000;;;A9011;A9012;0.87;;64.77;8418.74;43.5;855.72;495.01;9877.75;;;;;;;;;;
2005;1213;Estimated;Estimated using previous year's AADF on this link;A96;TR;384900;811400;;;B979;B979;1.55;;174.64;10737.3;72.58;1263.28;701.38;12949.17;;;;;;;;;;
2005;10775;Estimated;Estimated using previous year's AADF on this link;A956;PU;394600;810000;;;B997 Balgownie Road;A90;0.75;;200.85;7305.61;103.97;1343.38;692.38;9646.19;;;;;;;;;;
2005;10859;Counted;Manual count;A93;PR;387200;802070;;;B979;Old Ferry Rd;1.74;;34.93;8228.23;161.3;601.38;179.08;9204.92;;;;;;;;;;
2005;10989;Estimated;Estimated using previous year's AADF on this link;A90;TU;392900;803560;;;B9077 Leggart Terrace;A9013;0.19;;36.4;2342.08;1.7;398.51;24.09;2802.78;;;;;;;;;;
2005;10990;Estimated;Estimated using previous year's AADF on this link;A947;PU;389010;811700;;;Riverview Drive;A96;3.04;;185.59;21447.41;138.92;2792.75;1037.98;25602.65;;;;;;;;;;
2005;20853;Estimated;Estimated using previous year's AADF on this link;A9013;PU;394400;806330;;;B986;A96/A956;0.43;;106.05;1680.48;143.52;511.05;71.28;2512.38;;;;;;;;;;
2005;20854;Estimated;Estimated using previous year's AADF on this link;A90;TR;392900;803000;;;A956;Cairngorm Rd;1.74;;185.43;16223.4;66.68;1624.44;892.87;18992.82;;;;;;;;;;
2005;20868;Estimated;Estimated using previous year's AADF on this link;A96;PU;392000;809050;;;A90;A978;1.24;;256.74;7129.7;79.83;1407.98;524.82;9399.07;;;;;;;;;;
2005;20987;Estimated;Estimated using previous year's AADF on this link;A90;TU;391620;805200;;;A93;B9119 Queen's Road;0.62;;65.55;6908.8;14.06;1391.87;188.02;8568.3;;;;;;;;;;
2005;21002;Estimated;Estimated using previous year's AADF on this link;A978;PU;392640;808000;;;A9012;A96;0.56;;34.29;2575.59;14.7;389.46;41.44;3055.48;;;;;;;;;;
2005;30854;Estimated;Estimated using previous year's AADF on this link;A9013;PU;393200;805300;;;B9077;A93;0.19;;11.77;1000.53;38.1;127.17;29.87;1207.44;;;;;;;;;;
2005;30860;Estimated;Estimated using previous year's AADF on this link;A93;PU;392600;805000;;;A90;A9013;0.93;;105.12;6450.21;68.72;966.85;80.97;7671.87;;;;;;;;;;
2005;30992;Estimated;Estimated using previous year's AADF on this link;A90;TU;391350;809035;;;A9012;A96;0.62;;221.58;8974.27;32.21;1634.1;195.5;11057.66;;;;;;;;;;
2005;40780;Counted;Manual count;A96;TR;386800;811210;;;B979;Bankhead Avenue;2.42;;140.64;14038.25;161.87;1600.1;1110.08;17050.93;;;;;;;;;;
2005;40854;Estimated;Estimated using previous year's AADF on this link;A956;PU;394200;808100;;;A96/A9013;A978;1.18;;119.8;6606.45;188.74;1203.99;663.19;8782.17;;;;;;;;;;
2005;40861;Estimated;Estimated using previous year's AADF on this link;A93;PR;385000;801100;;;B979;B979;1.43;;42.77;6241.44;91.81;812.72;284.29;7473.03;;;;;;;;;;
2005;40869;Estimated;Estimated using previous year's AADF on this link;A96;PU;393100;808000;;;A978;B991;0.5;;70.58;2395.56;58.97;675.32;254.56;3454.99;;;;;;;;;;
2005;40991;Estimated;Estimated using previous year's AADF on this link;A90;TU;392640;804000;;;A9013;A93;0.81;;101.72;7289.64;13.56;914.89;414.25;8734.06;;;;;;;;;;
2005;41007;Estimated;Estimated using previous year's AADF on this link;A978;PU;394000;808500;;;A96;A956;0.75;;44.36;4557.6;49.81;1190.43;217.18;6059.38;;;;;;;;;;
2005;50843;Estimated;Estimated using previous year's AADF on this link;A978;PU;392400;807600;;;A9011;A9012;0.19;;11.63;794.37;0.61;143.5;8.16;958.28;;;;;;;;;;
2005;50863;Estimated;Estimated using previous year's AADF on this link;A90;TU;391100;806200;;;B9119 Queen's Road;A944;0.99;;104.87;12115.5;34.84;2512.95;1254.84;16023;;;;;;;;;;
2005;50866;Counted;Manual count;A9013;PU;393800;806000;;;A978;B986;0.43;;14.76;1769.23;206.86;226.55;73.98;2291.39;;;;;;;;;;
2005;74306;Estimated;Estimated using previous year's AADF on this link;A93;PR;383400;800930;;;LA boundary;B979;0.37;;1.5;451.79;9.8;48.44;25.31;536.84;;;;;;;;;;
2005;74307;Estimated;Estimated using previous year's AADF on this link;A90;TR;393170;800230;;;LA boundary;A956;0.43;;70.01;5292.12;25.24;818.25;475.01;6680.63;;;;;;;;;;
2005;74308;Estimated;Estimated using previous year's AADF on this link;A90;TR;394740;812500;;;A956;LA boundary;2.3;;94.83;13300.71;119.16;1471.89;1003.64;15990.23;;;;;;;;;;
2005;74310;Counted;Dependent on a neighbouring counted link;A96;TR;382860;812325;;;LA Boundary;B979;0.31;;35.61;2122.74;20.64;223.29;135.63;2537.9;;;;;;;;;;
2005;74311;Estimated;Estimated using previous year's AADF on this link;A944;PR;384070;806365;;;LA boundary;B9119;0.06;;0.91;116.48;1.07;12.7;8.96;140.12;;;;;;;;;;
2005;74312;Estimated;Estimated using previous year's AADF on this link;A945;PU;394220;804670;;;A9013;A956;1.43;;181.53;6553.9;22.95;956.69;316.64;8031.71;;;;;;;;;;
2005;74313;Estimated;Estimated using previous year's AADF on this link;A956;PU;394510;805770;;;A945;A93;0.81;;137.99;6221.73;95.53;1764.92;742.41;8962.57;;;;;;;;;;
2005;74314;Estimated;Estimated using previous year's AADF on this link;A90;TU;391050;806950;;;A944;A9011;0.12;;21.14;1328.55;7.98;203.62;65;1626.3;;;;;;;;;;
2005;74315;Estimated;Estimated using previous year's AADF on this link;A978;PU;392440;807260;;;A944;A9011;0.37;;55.38;2318.4;18.51;249.44;23.27;2665;;;;;;;;;;
2005;74316;Estimated;Estimated using previous year's AADF on this link;A9011;PU;391610;807330;;;A90;A978;0.93;;31.3;3996.68;63.28;339.52;42.87;4473.64;;;;;;;;;;
2005;75459;Counted;Manual count;A96;TU;391100;809200;;;A947;A90;1.3;;134.79;11245.47;378.64;1064.96;796.34;13620.21;;;;;;;;;;
2005;77082;Estimated;Estimated using previous year's AADF on this link;A9013;PU;392800;803800;;;A90 Stonehaven Rd;A945 Ruthrieston Rd;0.19;;7.21;768.11;5.85;97.5;90.22;968.89;;;;;;;;;;
2005;78513;Estimated;Estimated using previous year's AADF on this link;A956;PR;394220;801500;;;A90;Souter Head Rd roundabout;1.49;;57.7;6741.96;31.03;997.74;1012.44;8840.86;;;;;;;;;;
2005;78514;Estimated;Estimated from nearby links;A90;TU;393020;803350;;;Cairngorm Rd;B9077;0.19;;21.02;1842.53;7.55;184.52;101.24;2156.87;;;;;;;;;;
2005;78515;Estimated;Estimated using previous year's AADF on this link;A93;PU;389000;802770;;;Old Ferry Rd;A90;3.11;;99.79;14698.94;229.07;1530.9;332.26;16890.97;;;;;;;;;;
2005;78516;Counted;Manual count;A944;PU;389500;806670;;;Skye Rd;Springhill Rd;0.37;;17.01;1598.26;49.12;159.35;54.43;1878.18;;;;;;;;;;
2005;78517;Estimated;Estimated from nearby links;A96;TU;389100;809800;;;Bankhead Avenue;A947;0.37;;24.09;2397.33;27.76;273.25;189.56;2911.98;;;;;;;;;;
2005;78518;Estimated;Estimated from nearby links;A947;PR;388800;813900;;;Riverview Drive;LA boundary;0.31;;17.35;1991.54;12.93;259.35;96.39;2377.55;;;;;;;;;;
2005;80026;Counted;Manual count;A93;PU;394000;805580;;;A9013;A956;0.99;;5.08;1573.45;14.88;118.66;28.67;1740.74;;;;;;;;;;
2005;80027;Estimated;Estimated using previous year's AADF on this link;A956;PU;394610;806300;;;A93;A96/A9013;0.43;;74.93;3389.22;12.86;1017.02;463.9;4957.93;;;;;;;;;;
2005;80028;Estimated;Estimated using previous year's AADF on this link;A944;PR;389000;806640;;;B9119;Skye Rd;0.99;;34.11;3715.9;12.7;490.25;69.31;4322.27;;;;;;;;;;
2005;80029;Estimated;Estimated using previous year's AADF on this link;A944;PU;390000;806680;;;Springhill Rd;A90;0.75;;48.17;3747.38;42.46;467.03;140.16;4445.2;;;;;;;;;;
2005;80030;Estimated;Estimated using previous year's AADF on this link;A944;PU;392000;806800;;;A90;A978;0.93;;63.28;3951.43;29.94;475.94;121.11;4641.7;;;;;;;;;;
2005;80031;Estimated;Estimated using previous year's AADF on this link;A944;PU;393000;806910;;;A978;A96;0.93;;38.78;3696.28;43.89;477.98;114.99;4371.92;;;;;;;;;;
2005;80032;Estimated;Estimated using previous year's AADF on this link;A90;TU;394000;810990;;;B997 Scotstown Road;A956;0.62;;29.48;2719.34;9.53;601.7;219.54;3579.59;;;;;;;;;;
2005;80033;Counted;Manual count;A90;TU;391050;810000;;;A96;B997 Scotstown Road;2.61;;55.25;13615.92;46.68;1387.88;698.23;15803.96;;;;;;;;;;
2005;80038;Estimated;Estimated using previous year's AADF on this link;A9013;PU;392880;804000;;;A945;B9077;0.81;;48.94;3290.72;26.54;501.82;38.92;3906.93;;;;;;;;;;
2005;80039;Estimated;Estimated using previous year's AADF on this link;A96;PU;393640;807320;;;B991;A944;0.56;;32.86;1726.65;16.74;318.84;144.31;2239.41;;;;;;;;;;
2005;80040;Counted;Manual count;A96;PU;394240;806750;;;A944;A956;0.5;;11.61;1790.82;33.2;236.05;172.55;2244.24;;;;;;;;;;
2005;80041;Estimated;Estimated using previous year's AADF on this link;A9012;PU;392000;808000;;;A90;A978;0.56;;13.27;1402.92;8.57;182.89;42.05;1649.7;;;;;;;;;;
2005;80333;Estimated;Estimated using previous year's AADF on this link;A978;PU;393050;806000;;;A9013;A944;0.93;;24.83;1899.68;41.5;220.45;51.03;2237.5;;;;;;;;;;
2005;80345;Counted;Manual count;A956;PU;394350;805030;;;Souter Head Rd roundabout;A945;1.93;;140.62;12474.78;86.48;1903.24;2113.46;16718.58;;;;;;;;;;
2005;80355;Estimated;Estimated using previous year's AADF on this link;A944;PR;386000;806180;;;B9119;B9119;2.36;;43.95;4977.14;26.72;684.3;419.72;6151.83;;;;;;;;;;
2006;1041;Estimated;Estimated using previous year's AADF on this link;A956;PU;394400;809000;;;A978;B997 Balgownie Road;0.81;;42.75;5546.25;151.55;786.93;562.26;7089.74;;;;;;;;;;
2006;1042;Estimated;Estimated using previous year's AADF on this link;A9013;PU;393250;805600;;;A93;A978;0.19;;14.42;1151.24;25.38;318.5;38.78;1548.32;;;;;;;;;;
2006;1178;Estimated;Estimated using previous year's AADF on this link;A90;TU;391560;808000;;;A9011;A9012;0.87;;40.64;8789.29;43.18;1019.88;556.3;10449.29;;;;;;;;;;
2006;1213;Estimated;Estimated using previous year's AADF on this link;A96;TR;384900;811400;;;B979;B979;1.55;;172.37;10737.3;79.38;1356.27;699.68;13045;;;;;;;;;;
2006;10775;Counted;Manual count;A956;PU;394600;810000;;;B997 Balgownie Road;A90;0.75;;117.03;7196.47;204.39;861.39;370.14;8749.42;;;;;;;;;;
2006;10859;Estimated;Estimated using previous year's AADF on this link;A93;PR;387200;802070;;;B979;Old Ferry Rd;1.74;;34.29;8228.23;176.54;645.84;175.91;9260.81;;;;;;;;;;
2006;10989;Estimated;Estimated using previous year's AADF on this link;A90;TU;392900;803560;;;B9077 Leggart Terrace;A9013;0.19;;22.86;2445.16;1.63;474.99;25.92;2970.56;;;;;;;;;;
2006;10990;Estimated;Estimated using previous year's AADF on this link;A947;PU;389010;811700;;;Riverview Drive;A96;3.04;;116.69;22390.92;138.92;3329.52;1151.33;27127.38;;;;;;;;;;
2006;20853;Counted;Manual count;A9013;PU;394400;806330;;;B986;A96/A956;0.43;;54.77;1554.58;174.64;206.86;35.24;2026.1;;;;;;;;;;
2006;20854;Estimated;Estimated using previous year's AADF on this link;A90;TR;392900;803000;;;A956;Cairngorm Rd;1.74;;182.89;16223.4;73.03;1745.09;893.5;19117.92;;;;;;;;;;
2006;20868;Estimated;Estimated using previous year's AADF on this link;A96;PU;392000;809050;;;A90;A978;1.24;;161.48;7443.59;79.83;1678.32;601.47;9964.71;;;;;;;;;;
2006;20987;Estimated;Estimated using previous year's AADF on this link;A90;TU;391620;805200;;;A93;B9119 Queen's Road;0.62;;41.05;7212.71;14.06;1659.27;227.71;9154.8;;;;;;;;;;
2006;21002;Estimated;Estimated using previous year's AADF on this link;A978;PU;392640;808000;;;A9012;A96;0.56;;21.43;2689.08;14.7;464.17;44.91;3234.29;;;;;;;;;;
2006;30854;Estimated;Estimated using previous year's AADF on this link;A9013;PU;393200;805300;;;B9077;A93;0.19;;7.35;1044.55;37.97;151.66;32.25;1273.78;;;;;;;;;;
2006;30860;Estimated;Estimated using previous year's AADF on this link;A93;PU;392600;805000;;;A90;A9013;0.93;;66;6733.93;68.38;1152.26;87.09;8107.66;;;;;;;;;;
2006;30992;Estimated;Estimated using previous year's AADF on this link;A90;TU;391350;809035;;;A9012;A96;0.62;;139.26;9368.9;31.98;1947.99;232.7;11720.82;;;;;;;;;;
2006;40780;Estimated;Estimated using previous year's AADF on this link;A96;TR;386800;811210;;;B979;Bankhead Avenue;2.42;;138.87;14038.25;176.9;1718.63;1102.11;17174.76;;;;;;;;;;
2006;40854;Estimated;Estimated using previous year's AADF on this link;A956;PU;394200;808100;;;A96/A9013;A978;1.18;;74.98;6897.32;187.88;1434.97;753.25;9348.4;;;;;;;;;;
2006;40861;Counted;Manual count;A93;PR;385000;801100;;;B979;B979;1.43;;43.82;6120.94;127.8;727.17;384.97;7404.7;;;;;;;;;;
2006;40869;Estimated;Estimated using previous year's AADF on this link;A96;PU;393100;808000;;;A978;B991;0.5;;44.27;2500.97;58.79;804.87;293.39;3702.29;;;;;;;;;;
2006;40991;Estimated;Estimated using previous year's AADF on this link;A90;TU;392640;804000;;;A9013;A93;0.81;;63.69;7610.43;13.56;1090.32;463.78;9241.78;;;;;;;;;;
2006;41007;Estimated;Estimated using previous year's AADF on this link;A978;PU;394000;808500;;;A96;A956;0.75;;27.76;4757.91;49.53;1418.77;245.22;6499.19;;;;;;;;;;
2006;50843;Counted;Manual count;A978;PU;392400;807600;;;A9011;A9012;0.19;;6.12;912.49;17.21;78.45;18.92;1033.19;;;;;;;;;;
2006;50863;Estimated;Estimated using previous year's AADF on this link;A90;TU;391100;806200;;;B9119 Queen's Road;A944;0.99;;65.68;12648.94;34.84;2995.22;1401.81;17146.48;;;;;;;;;;
2006;50866;Estimated;Estimated using previous year's AADF on this link;A9013;PU;393800;806000;;;A978;B986;0.43;;9.21;1847.02;206.23;270.05;80.02;2412.52;;;;;;;;;;
2006;74306;Estimated;Estimated using previous year's AADF on this link;A93;PR;383400;800930;;;LA boundary;B979;0.37;;1.5;465.26;10.07;51.03;25.99;553.85;;;;;;;;;;
2006;74307;Estimated;Estimated using previous year's AADF on this link;A90;TR;393170;800230;;;LA boundary;A956;0.43;;69.06;5292.12;27.47;878.9;490.09;6757.63;;;;;;;;;;
2006;74308;Counted;Dependent on a neighbouring counted link;A90;TR;394740;812500;;;A956;LA boundary;2.3;;167.83;11580.43;87.27;1411.47;1090.07;14337.08;;;;;;;;;;
2006;74310;Estimated;Estimated using previous year's AADF on this link;A96;TR;382860;812325;;;LA Boundary;B979;0.31;;35.04;2122.74;22.57;239.84;133.81;2554;;;;;;;;;;
2006;74311;Estimated;Estimated using previous year's AADF on this link;A944;PR;384070;806365;;;LA boundary;B9119;0.06;;0.88;119.98;1.09;13.34;9.21;144.49;;;;;;;;;;
2006;74312;Estimated;Estimated using previous year's AADF on this link;A945;PU;394220;804670;;;A9013;A956;1.43;;113.72;6842.37;22.95;1140.83;344.28;8464.15;;;;;;;;;;
2006;74313;Estimated;Estimated using previous year's AADF on this link;A956;PU;394510;805770;;;A945;A93;0.81;;86.68;6495.63;94.94;2103.39;847.37;9628.02;;;;;;;;;;
2006;74314;Estimated;Estimated using previous year's AADF on this link;A90;TU;391050;806950;;;A944;A9011;0.12;;13.25;1387.02;7.94;242.77;73.08;1724.05;;;;;;;;;;
2006;74315;Estimated;Estimated using previous year's AADF on this link;A978;PU;392440;807260;;;A944;A9011;0.37;;34.84;2420.46;18.51;297.34;24.9;2796.04;;;;;;;;;;
2006;74316;Estimated;Estimated using previous year's AADF on this link;A9011;PU;391610;807330;;;A90;A978;0.93;;19.73;4172.22;62.94;404.16;45.93;4704.98;;;;;;;;;;
2006;75459;Counted;Manual count;A96;TU;391100;809200;;;A947;A90;1.3;;208.61;13451.6;223.38;1624.59;1036.39;16544.57;;;;;;;;;;
2006;77082;Estimated;Estimated using previous year's AADF on this link;A9013;PU;392800;803800;;;A90 Stonehaven Rd;A945 Ruthrieston Rd;0.19;;4.56;801.99;5.85;116.14;104.03;1032.58;;;;;;;;;;
2006;78513;Estimated;Estimated using previous year's AADF on this link;A956;PR;394220;801500;;;A90;Souter Head Rd roundabout;1.49;;57.7;6741.96;34.29;1071.22;1010.8;8915.98;;;;;;;;;;
2006;78514;Estimated;Estimated from nearby links;A90;TU;393020;803350;;;Cairngorm Rd;B9077;0.19;;20.75;1842.53;8.3;198.2;101.45;2171.23;;;;;;;;;;
2006;78515;Counted;Manual count;A93;PU;389000;802770;;;Old Ferry Rd;A90;3.11;;37.42;13157.83;240.41;1461.73;351.54;15248.93;;;;;;;;;;
2006;78516;Estimated;Estimated using previous year's AADF on this link;A944;PU;389500;806670;;;Skye Rd;Springhill Rd;0.37;;10.61;1668.62;48.85;189.83;59.06;1976.97;;;;;;;;;;
2006;78517;Estimated;Estimated from nearby links;A96;TU;389100;809800;;;Bankhead Avenue;A947;0.37;;23.68;2397.33;30.21;293.53;188.2;2932.94;;;;;;;;;;
2006;78518;Estimated;Estimated from nearby links;A947;PR;388800;813900;;;Riverview Drive;LA boundary;0.31;;10.89;2079.19;12.93;309.13;106.71;2518.85;;;;;;;;;;
2006;80026;Estimated;Estimated using previous year's AADF on this link;A93;PU;394000;805580;;;A9013;A956;0.99;;2.9;1642.76;14.88;141.89;31.93;1834.36;;;;;;;;;;
2006;80027;Estimated;Estimated using previous year's AADF on this link;A956;PU;394610;806300;;;A93;A96/A9013;0.43;;46.99;3538.45;12.86;1212.14;531.05;5341.49;;;;;;;;;;
2006;80028;Estimated;Estimated using previous year's AADF on this link;A944;PR;389000;806640;;;B9119;Skye Rd;0.99;;33.39;3715.9;13.43;526.54;69.67;4358.92;;;;;;;;;;
2006;80029;Estimated;Estimated using previous year's AADF on this link;A944;PU;390000;806680;;;Springhill Rd;A90;0.75;;30.21;3912.31;42.46;556.57;152.41;4693.95;;;;;;;;;;
2006;80030;Estimated;Estimated using previous year's AADF on this link;A944;PU;392000;806800;;;A90;A978;0.93;;39.8;4125.27;29.94;567.45;132;4894.47;;;;;;;;;;
2006;80031;Estimated;Estimated using previous year's AADF on this link;A944;PU;393000;806910;;;A978;A96;0.93;;24.49;3858.9;43.89;569.84;125.19;4622.31;;;;;;;;;;
2006;80032;Estimated;Estimated using previous year's AADF on this link;A90;TU;394000;810990;;;B997 Scotstown Road;A956;0.62;;18.6;2839.09;9.53;717.37;242.22;3826.8;;;;;;;;;;
2006;80033;Estimated;Estimated using previous year's AADF on this link;A90;TU;391050;810000;;;A96;B997 Scotstown Road;2.61;;34.29;14215.08;46.68;1655.55;770.62;16722.23;;;;;;;;;;
2006;80038;Estimated;Estimated using previous year's AADF on this link;A9013;PU;392880;804000;;;A945;B9077;0.81;;30.66;3435.48;25.95;598.23;41.87;4132.19;;;;;;;;;;
2006;80039;Estimated;Estimated using previous year's AADF on this link;A96;PU;393640;807320;;;B991;A944;0.56;;20.82;1802.59;16.53;380.28;163.7;2383.92;;;;;;;;;;
2006;80040;Estimated;Estimated using previous year's AADF on this link;A96;PU;394240;806750;;;A944;A956;0.5;;7.26;1869.56;32.84;281.23;194.5;2385.4;;;;;;;;;;
2006;80041;Estimated;Estimated using previous year's AADF on this link;A9012;PU;392000;808000;;;A90;A978;0.56;;8.16;1464.77;8.57;218;44.91;1744.41;;;;;;;;;;
2006;80333;Estimated;Estimated using previous year's AADF on this link;A978;PU;393050;806000;;;A9013;A944;0.93;;15.31;1983.03;40.82;262.29;55.11;2356.57;;;;;;;;;;
2006;80345;Estimated;Estimated using previous year's AADF on this link;A956;PU;394350;805030;;;Souter Head Rd roundabout;A945;1.93;;88.59;13023.18;86.48;2268.84;2377.12;17844.21;;;;;;;;;;
2006;80355;Counted;Manual count;A944;PR;386000;806180;;;B9119;B9119;2.36;;134.45;21269.39;164.61;1807.28;877.35;24253.09;;;;;;;;;;
2007;1041;Estimated;Estimated using previous year's AADF on this link;A956;PU;394400;809000;;;A978;B997 Balgownie Road;0.81;;43.93;5329.83;153.32;802.85;571.7;6901.63;;;;;;;;;;
2007;1042;Counted;Manual count;A9013;PU;393250;805600;;;A93;A978;0.19;;7.69;1127.97;60.28;132.54;34.56;1363.05;;;;;;;;;;
2007;1178;Estimated;Estimated using previous year's AADF on this link;A90;TU;391560;808000;;;A9011;A9012;0.87;;41.6;8446.37;43.82;1040.2;564.87;10136.85;;;;;;;;;;
2007;1213;Counted;Manual count;A96;TR;384900;811400;;;B979;B979;1.55;;128.71;10346.07;90.72;1317.71;706.48;12589.69;;;;;;;;;;
2007;10775;Estimated;Estimated using previous year's AADF on this link;A956;PU;394600;810000;;;B997 Balgownie Road;A90;0.75;;120.02;6916.14;207.11;878.53;372.86;8494.68;;;;;;;;;;
2007;10859;Estimated;Estimated using previous year's AADF on this link;A93;PR;387200;802070;;;B979;Old Ferry Rd;1.74;;35.56;8294.28;193.05;732.2;184.8;9439.89;;;;;;;;;;
2007;10989;Estimated;Estimated using previous year's AADF on this link;A90;TU;392900;803560;;;B9077 Leggart Terrace;A9013;0.19;;23.47;2349.77;1.7;484.51;26.6;2886.06;;;;;;;;;;
2007;10990;Counted;Manual count;A947;PU;389010;811700;;;Riverview Drive;A96;3.04;;98.91;18943.6;326.73;1726.99;504.54;21600.77;;;;;;;;;;
2007;20853;Estimated;Estimated using previous year's AADF on this link;A9013;PU;394400;806330;;;B986;A96/A956;0.43;;56.2;1493.93;177.18;210.99;35.72;1974.03;;;;;;;;;;
2007;20854;Estimated;Estimated using previous year's AADF on this link;A90;TR;392900;803000;;;A956;Cairngorm Rd;1.74;;189.24;16353.59;80.02;1976.88;946.85;19546.57;;;;;;;;;;
2007;20868;Counted;Manual count;A96;PU;392000;809050;;;A90;A978;1.24;;136.99;5273.11;107.96;593.76;303.91;6415.73;;;;;;;;;;
2007;20987;Estimated;Estimated using previous year's AADF on this link;A90;TU;391620;805200;;;A93;B9119 Queen's Road;0.62;;42.41;6931.48;14.06;1692.39;231.79;8912.13;;;;;;;;;;
2007;21002;Counted;Manual count;A978;PU;392640;808000;;;A9012;A96;0.56;;14.49;1977.72;20;220.86;56.13;2289.21;;;;;;;;;;
2007;30854;Estimated;Estimated using previous year's AADF on this link;A9013;PU;393200;805300;;;B9077;A93;0.19;;7.62;1003.8;38.51;154.66;32.8;1237.38;;;;;;;;;;
2007;30860;Estimated;Estimated using previous year's AADF on this link;A93;PU;392600;805000;;;A90;A9013;0.93;;67.7;6471.3;69.4;1175.39;89.13;7872.93;;;;;;;;;;
2007;30992;Counted;Manual count;A90;TU;391350;809035;;;A9012;A96;0.62;;73.71;7230.17;56.47;849.59;470.16;8680.11;;;;;;;;;;
2007;40780;Estimated;Estimated using previous year's AADF on this link;A96;TR;386800;811210;;;B979;Bankhead Avenue;2.42;;144.18;14150.58;193.71;1946.83;1164.92;17600.22;;;;;;;;;;
2007;40854;Estimated;Estimated using previous year's AADF on this link;A956;PU;394200;808100;;;A96/A9013;A978;1.18;;76.7;6627.99;190.47;1463.84;768.33;9127.34;;;;;;;;;;
2007;40861;Estimated;Estimated using previous year's AADF on this link;A93;PR;385000;801100;;;B979;B979;1.43;;44.86;6169.97;139.8;823.15;407.92;7585.71;;;;;;;;;;
2007;40869;Counted;Manual count;A96;PU;393100;808000;;;A978;B991;0.5;;27.22;1982.96;88.72;285.77;180.17;2564.84;;;;;;;;;;
2007;40991;Estimated;Estimated using previous year's AADF on this link;A90;TU;392640;804000;;;A9013;A93;0.81;;65.45;7313.52;13.56;1112.43;471.16;8976.13;;;;;;;;;;
2007;41007;Estimated;Estimated using previous year's AADF on this link;A978;PU;394000;808500;;;A96;A956;0.75;;28.58;4572.57;50.35;1447.35;252.29;6351.14;;;;;;;;;;
2007;50843;Estimated;Estimated using previous year's AADF on this link;A978;PU;392400;807600;;;A9011;A9012;0.19;;6.26;876.83;17.49;80.02;19.39;999.99;;;;;;;;;;
2007;50863;Counted;Manual count;A90;TU;391100;806200;;;B9119 Queen's Road;A944;0.99;;107.41;8317.23;31.21;937.68;677.5;10071.03;;;;;;;;;;
2007;50866;Estimated;Estimated using previous year's AADF on this link;A9013;PU;393800;806000;;;A978;B986;0.43;;9.53;1774.94;209.09;275.45;81.29;2350.29;;;;;;;;;;
2007;74306;Estimated;Estimated using previous year's AADF on this link;A93;PR;383400;800930;;;LA boundary;B979;0.37;;1.63;444.03;9.8;54.02;25.72;535.2;;;;;;;;;;
2007;74307;Counted;Dependent on a neighbouring counted link;A90;TR;393170;800230;;;LA boundary;A956;0.43;;46.99;4951.1;36.67;669.81;569.31;6273.89;;;;;;;;;;
2007;74308;Estimated;Estimated using previous year's AADF on this link;A90;TR;394740;812500;;;A956;LA boundary;2.3;;173.71;11673.58;95.66;1599.44;1162.24;14704.63;;;;;;;;;;
2007;74310;Counted;Dependent on a neighbouring counted link;A96;TR;382860;812325;;;LA Boundary;B979;0.31;;28.46;1692.27;20.98;237.91;149.12;2128.75;;;;;;;;;;
2007;74311;Estimated;Estimated using previous year's AADF on this link;A944;PR;384070;806365;;;LA boundary;B9119;0.06;;0.93;119.25;1.13;14.72;9.32;145.36;;;;;;;;;;
2007;74312;Estimated;Estimated using previous year's AADF on this link;A945;PU;394220;804670;;;A9013;A956;1.43;;116.85;6575.81;23.47;1163.26;353.67;8233.06;;;;;;;;;;
2007;74313;Estimated;Estimated using previous year's AADF on this link;A956;PU;394510;805770;;;A945;A93;0.81;;89.04;6242.37;96.41;2145.85;868.01;9441.68;;;;;;;;;;
2007;74314;Estimated;Estimated using previous year's AADF on this link;A90;TU;391050;806950;;;A944;A9011;0.12;;13.61;1332.95;8.07;247.58;74.62;1676.83;;;;;;;;;;
2007;74315;Estimated;Estimated using previous year's AADF on this link;A978;PU;392440;807260;;;A944;A9011;0.37;;35.65;2326.02;18.78;303.19;25.72;2709.36;;;;;;;;;;
2007;74316;Estimated;Estimated using previous year's AADF on this link;A9011;PU;391610;807330;;;A90;A978;0.93;;20.07;4009.61;63.96;412.32;46.95;4552.91;;;;;;;;;;
2007;75459;Counted;Manual count;A96;TU;391100;809200;;;A947;A90;1.3;;118.12;12396.17;331.02;1587.92;909.22;15342.44;;;;;;;;;;
