Year;CP;Estimation_method;Estimation_method_detailed;Road;RoadCategory;Easting;Northing;Longitute;Latitude;StartJunction;EndJunction;LinkLength_miles;LinkLength_kilometres;Motorcycles;CarsTaxis;BusesCoaches;LightGoodsVehicles;AllHGVs;AllMotorVehicles;;MotorcycleCO2PerKilometer;CarsTaxisCO2PerKilometer;BusesCoachesCO2PerKilometer;LightGoodsVehiclesCO2PerKilometer;AllHGVsCO2PerKilometer;TotalEmissionsPerSection;;Rank;
2004;74315;Estimated;Estimated using previous year's AADF on this link;A978;PU;392440;807260;;;A944;A9011;0.37;;42.98;2299.51;19.38;211.37;19.92;2593.16;;;;;;;;;;
2004;74316;Estimated;Estimated using previous year's AADF on this link;A9011;PU;391610;807330;;;A90;A978;0.93;;24.22;3963.96;66.52;287.57;36.16;4378.44;;;;;;;;;;
2004;75459;Counted;Manual count;A96;TU;391100;809200;;;A947;A90;1.3;;239.27;12297.36;226.85;1397.42;1058.33;15219.23;;;;;;;;;;
2004;77082;Estimated;Estimated using previous year's AADF on this link;A9013;PU;392800;803800;;;A90 Stonehaven Rd;A945 Ruthrieston Rd;0.19;;5.59;761.89;6.14;82.62;88.97;945.21;;;;;;;;;;
2004;78513;Estimated;Estimated using previous year's AADF on this link;A956;PR;394220;801500;;;A90;Souter Head Rd roundabout;1.49;;66.04;6720.04;31.11;966.63;1053.96;8837.8;;;;;;;;;;
2004;78514;Estimated;Estimated from nearby links;A90;TU;393020;803350;;;Cairngorm Rd;B9077;0.19;;23.88;1836.52;7.44;178.75;104.18;2150.77;;;;;;;;;;
2004;78515;Estimated;Estimated using previous year's AADF on this link;A93;PU;389000;802770;;;Old Ferry Rd;A90;3.11;;77.32;14577.74;239.93;1297.44;289.96;16482.4;;;;;;;;;;
2004;78516;Counted;Manual count;A944;PU;389500;806670;;;Skye Rd;Springhill Rd;0.37;;9.96;1907.07;40.25;162.24;64.82;2184.34;;;;;;;;;;
2004;78517;Estimated;Estimated from nearby links;A96;TU;389100;809800;;;Bankhead Avenue;A947;0.37;;36.3;2363.23;24.83;286.28;143.69;2854.33;;;;;;;;;;
2004;78518;Estimated;Estimated from nearby links;A947;PR;388800;813900;;;Riverview Drive;LA boundary;0.31;;13.42;1975.27;13.65;219.8;92.67;2314.81;;;;;;;;;;
2004;80026;Estimated;Estimated using previous year's AADF on this link;A93;PU;394000;805580;;;A9013;A956;0.99;;25.84;3421.15;5.82;611.31;50.94;4115.06;;;;;;;;;;
