,,http://www.scottishairquality.scot/data/emissions,,,,,
,,,,,,,
Year,Local Authority Area,Registered Company Name (Site Name),Site Company Name,Industry Sector,Pollutant Name,Total Emission,Return Availability
2018,Aberdeenshire,Easter Hatton Environmental (Waste Away) Ltd. Easter Hatton Environment Balmedie Aberdeen,Easter Hatton Farm Balmedie Aberdeenshire AB23 8YY,5(d),Nitrous oxide,-,Not Yet Submitted
2018,Aberdeenshire,Easter Hatton Environmental (Waste Away) Ltd. Easter Hatton Environment Balmedie Aberdeen,Easter Hatton Farm Balmedie Aberdeenshire AB23 8YY,5(d),Methane,-,Not Yet Submitted
2018,Aberdeenshire,Kelda Water Services (Grampian) Ltd. Peterhead STW Burnhaven Peterhead,Peterhead STW Burnhaven Peterhead AB42 0YX,5(f).ii,Carbon dioxide,-,Not Yet Submitted
2018,Aberdeenshire,Kelda Water Services (Grampian) Ltd. Peterhead STW Burnhaven Peterhead,Peterhead STW Burnhaven Peterhead AB42 0YX,5(f).ii,Methane,-,Not Yet Submitted
2018,Aberdeenshire,Lothian Shelf (731) Limited. Zhuorim TTR UK Markethill Rd Aberdeen,Markethill Road East Markethill Industrial Estate Turriff Aberdeenshire AB53 4AW,9(c),Carbon dioxide,-,Not Yet Submitted
2018,Aberdeenshire,Aberdeenshire Council. Crows Nest L/FRaemoir RdBanchoryAberdeen,Raemoir Road Upper Lochton Banchory Aberdeenshire AB31 4EQ,5(d),Methane,-,Not Yet Agreed
2018,Aberdeenshire,Aberdeenshire Council Infrastructure - Waste Management Disposal. Brandon Howe L/F Site Inverboyndie Banff,Brandon Howe Inverboyndie Banff Aberdeenshire AB45 2DS,5(d),Carbon dioxide,-,Not Yet Submitted
2018,Aberdeenshire,Aberdeenshire Council Infrastructure - Waste Management Disposal. Brandon Howe L/F Site Inverboyndie Banff,Brandon Howe Inverboyndie Banff Aberdeenshire AB45 2DS,5(d),Methane,-,Not Yet Submitted
2018,Aberdeenshire,Aberdeenshire Council Infrastructure - Waste Management Disposal. Brandon Howe L/F Site Inverboyndie Banff,Brandon Howe Inverboyndie Banff Aberdeenshire AB45 2DS,5(d),Hydrofluorocarbons (HFCs),-,Not Yet Submitted
2018,Aberdeenshire,Aberdeenshire Council Infrastructure - Waste Management Disposal. Brandon Howe L/F Site Inverboyndie Banff,Brandon Howe Inverboyndie Banff Aberdeenshire AB45 2DS,5(d),Perfluorocarbons (PFCs),-,Not Yet Submitted
